"","YOB","Gender","Income","HouseholdStatus","EducationLevel","Q124742","Q124122","Q123464","Q123621","Q122769","Q122770","Q122771","Q122120","Q121699","Q121700","Q120978","Q121011","Q120379","Q120650","Q120472","Q120194","Q120012","Q120014","Q119334","Q119851","Q119650","Q118892","Q118117","Q118232","Q118233","Q118237","Q117186","Q117193","Q116797","Q116881","Q116953","Q116601","Q116441","Q116448","Q116197","Q115602","Q115777","Q115610","Q115611","Q115899","Q115390","Q114961","Q114748","Q115195","Q114517","Q114386","Q113992","Q114152","Q113583","Q113584","Q113181","Q112478","Q112512","Q112270","Q111848","Q111580","Q111220","Q110740","Q109367","Q108950","Q109244","Q108855","Q108617","Q108856","Q108754","Q108342","Q108343","Q107869","Q107491","Q106993","Q106997","Q106272","Q106388","Q106389","Q106042","Q105840","Q105655","Q104996","Q103293","Q102906","Q102674","Q102687","Q102289","Q102089","Q101162","Q101163","Q101596","Q100689","Q100680","Q100562","Q99982","Q100010","Q99716","Q99581","Q99480","Q98869","Q98578","Q98059","Q98078","Q98197","Q96024","UserId"
"6941",1994,"Male","under $25,000","Single (no kids)","Current K-12","No","No","No","No","No","No","Public","Yes","No","No","No","No","No","Yes","Science","Study first","No","Yes","No","No","Receiving","No","No","Pragmatist","No","No","Hot headed","Odd hours","Yes","Happy","Yes","Yes","No","No","P.M.","Yes","Start","Yes","No","Circumstances","Yes","Yes","No","Yes","No","Mysterious","No","No","Tunes","Technology","Yes","Yes","No","No","Yes","Supportive","No","PC","No","Cautious","No","Yes!","No","Socialize","No","In-person","No","No","Yes","Yes","Yay people!","No","No","No","No","No","No","No","No","No","No","Yes","No","Rent","Pessimist","Dad","Yes","No","No","No","Nope","No","No","No","Yes","Yes","No","Yes","No","Yes","No",3521
"6951",1989,"Female","under $25,000","Single (w/kids)","High School Diploma","No","Yes","No","No","No","Yes","Public","Yes","Yes","Yes","Yes","Yes","No","Yes","Art","Study first","Yes","No","No","No","Giving","Yes","No","Pragmatist","Yes","Yes","Hot headed","Odd hours","No","Happy","No","Yes","No","Yes","P.M.","No","End","No","No","Me","Yes","No","Yes","Yes","Yes","TMI","Yes","No","Tunes","Technology","Yes","Yes","Yes","Yes","No","Supportive","No","Mac","Yes","Risk-friendly","No","Yes!","Yes","Space","No","Online","No","No","Yes","No","Grrr people","No","No","Yes","No","No","Yes","Yes","No","Yes","No","No","No","Rent","Pessimist","Mom","Yes","Yes","Yes","Yes","Nope","Yes","No","No","Yes","Yes","No","Yes","No","Yes","No",3535
"6961",1984,"Male","under $25,000","Single (no kids)","Current Undergraduate","No","No","No","No","No","No","Public","No","Yes","Yes","No","No","Yes","Yes","Science","Study first","Yes","No","No","No","Receiving","Yes","No","Pragmatist","No","No","Cool headed","Standard hours","Yes","Right","Yes","No","Yes","No","A.M.","Yes","Start","Yes","No","Me","Yes","No","No","No","Yes","Mysterious","No","No","Talk","Technology","No","Yes","Yes","Yes","No","Supportive","Yes","PC","No","Cautious","Yes","Yes!","No","Space","No","Online","Yes","No","Yes","Yes","Grrr people","No","No","Yes","Yes","No","Yes","No","No","No","Yes","Yes","No","Rent","Optimist","Dad","No","Yes","No","Yes","Nope","Yes","No","No","No","No","No","Yes","No","No","Yes",3537
"6971",1965,"Female","$75,000 - $100,000","Single (no kids)","Bachelor's Degree","No","No","No","Yes","Yes","Yes","Public","No","No","No","Yes","No","No","Yes","Science","Study first","No","No","No","No","Giving","Yes","Yes","Pragmatist","Yes","Yes","Cool headed","Standard hours","Yes","Happy","Yes","Yes","Yes","No","P.M.","Yes","End","No","Yes","Me","No","Yes","Yes","Yes","No","Mysterious","Yes","No","Tunes","Technology","No","Yes","No","No","Yes","Supportive","Yes","PC","No","Cautious","No","Umm...","No","Space","No","In-person","Yes","No","Yes","Yes","Grrr people","Yes","No","Yes","Yes","Yes","Yes","No","No","No","Yes","No","No","Own","Pessimist","Dad","No","Yes","Yes","No","Nope","Yes","No","No","Yes","No","No","Yes","Yes","No","Yes",3543
"6981",1994,"Male","under $25,000","Single (no kids)","Current Undergraduate","No","Yes","No","No","Yes","No","Public","No","Yes","Yes","Yes","No","Yes","Yes","Science","Study first","No","No","Yes","Yes","Giving","Yes","Yes","Pragmatist","Yes","No","Cool headed","Standard hours","Yes","Right","Yes","No","No","Yes","P.M.","No","Start","Yes","No","Circumstances","No","No","No","No","No","TMI","Yes","No","Tunes","People","No","No","Yes","No","Yes","Supportive","Yes","Mac","Yes","Risk-friendly","No","Yes!","No","Socialize","Yes","In-person","Yes","No","Yes","Yes","Yay people!","No","No","Yes","No","No","No","No","No","No","No","No","No","Rent","Optimist","Mom","Yes","No","No","Yes","Check!","No","No","No","Yes","No","No","Yes","Yes","No","Yes",3550
"6991",1957,"Male","$50,000 - $74,999","Married (no kids)","Master's Degree","No","Yes","No","Yes","Yes","Yes","Public","No","Yes","No","No","Yes","Yes","Yes","Science","Try first","No","Yes","Yes","Yes","Giving","Yes","No","Idealist","No","No","Cool headed","Odd hours","Yes","Happy","Yes","Yes","No","No","A.M.","Yes","End","Yes","Yes","Circumstances","Yes","No","Yes","No","No","TMI","No","No","Talk","People","Yes","Yes","No","No","Yes","Supportive","No","Mac","Yes","Risk-friendly","Yes","Yes!","No","Space","No","In-person","Yes","Yes","Yes","Yes","Yay people!","Yes","Yes","No","Yes","No","No","Yes","Yes","No","Yes","Yes","Yes","Own","Optimist","Mom","Yes","Yes","Yes","Yes","Nope","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",3552
"7001",1985,"Male","under $25,000","Single (no kids)","Associate's Degree","Yes","Yes","No","Yes","No","Yes","Public","No","Yes","No","Yes","Yes","No","Yes","Art","Try first","No","No","No","Yes","Receiving","No","No","Idealist","No","No","Cool headed","Standard hours","No","Happy","No","Yes","No","No","A.M.","No","Start","No","No","Circumstances","Yes","No","Yes","No","No","TMI","Yes","No","Tunes","Technology","No","Yes","Yes","No","Yes","Demanding","No","Mac","Yes","Risk-friendly","Yes","Yes!","Yes","Socialize","No","In-person","No","No","Yes","Yes","Grrr people","Yes","Yes","Yes","No","No","Yes","Yes","No","No","No","No","Yes","Rent","Pessimist","Dad","No","Yes","No","No","Nope","Yes","No","No","No","No","No","Yes","Yes","No","No",3554
"7011",1993,"Female","under $25,000","Single (no kids)","Current Undergraduate","Yes","Yes","Yes","No","Yes","No","Public","No","Yes","Yes","Yes","No","Yes","Yes","Art","Study first","Yes","Yes","Yes","No","Receiving","Yes","No","Pragmatist","No","No","Hot headed","Standard hours","No","Right","Yes","Yes","No","No","P.M.","Yes","Start","Yes","No","Circumstances","No","No","No","Yes","No","Mysterious","Yes","No","Tunes","People","No","Yes","Yes","No","No","Supportive","No","PC","Yes","Risk-friendly","No","Yes!","No","Space","No","In-person","No","No","Yes","Yes","Grrr people","No","No","No","Yes","No","Yes","Yes","No","No","No","No","Yes","Own","Optimist","Dad","Yes","No","Yes","Yes","Check!","Yes","No","No","Yes","Yes","No","Yes","Yes","No","No",3560
"7021",1968,"Male","$100,001 - $150,000","Married (w/kids)","Bachelor's Degree","Yes","No","No","No","No","Yes","Public","No","No","No","Yes","Yes","No","Yes","Science","Study first","No","Yes","No","No","Giving","No","Yes","Idealist","Yes","No","Hot headed","Standard hours","No","Happy","Yes","Yes","No","No","P.M.","No","End","Yes","Yes","Me","Yes","No","No","No","No","Mysterious","No","Yes","Talk","Technology","Yes","No","Yes","Yes","No","Supportive","No","PC","No","Risk-friendly","No","Yes!","No","Space","No","In-person","No","Yes","Yes","Yes","Grrr people","Yes","Yes","Yes","Yes","No","Yes","Yes","No","Yes","No","No","No","Own","Optimist","Dad","Yes","Yes","No","Yes","Nope","Yes","No","No","No","Yes","No","Yes","No","No","Yes",3563
"7031",1982,"Male","$100,001 - $150,000","Married (no kids)","Bachelor's Degree","Yes","Yes","No","Yes","No","No","Public","No","Yes","No","Yes","Yes","No","Yes","Science","Study first","Yes","Yes","No","Yes","Giving","Yes","No","Pragmatist","No","No","Cool headed","Standard hours","Yes","Happy","No","No","Yes","Yes","P.M.","Yes","Start","No","Yes","Me","No","No","No","Yes","No","Mysterious","Yes","Yes","Tunes","Technology","Yes","Yes","Yes","No","Yes","Demanding","Yes","PC","Yes","Cautious","No","Umm...","No","Space","Yes","In-person","Yes","Yes","Yes","Yes","Grrr people","Yes","No","Yes","No","No","Yes","No","Yes","Yes","Yes","Yes","No","Own","Pessimist","Mom","No","Yes","Yes","Yes","Check!","Yes","No","No","Yes","Yes","Yes","Yes","No","Yes","No",3572
"7041",1994,"Male","under $25,000","Single (no kids)","Current Undergraduate","Yes","Yes","No","No","No","No","Public","No","Yes","No","No","No","No","Yes","Art","Try first","No","Yes","No","No","Giving","Yes","Yes","Idealist","No","No","Cool headed","Odd hours","No","Happy","No","Yes","No","Yes","P.M.","Yes","End","Yes","No","Me","Yes","Yes","Yes","Yes","No","Mysterious","No","No","Tunes","People","Yes","No","Yes","Yes","Yes","Demanding","No","PC","Yes","Cautious","No","Yes!","No","Socialize","No","In-person","No","Yes","Yes","Yes","Yay people!","No","No","Yes","Yes","No","No","No","No","No","No","Yes","No","Rent","Optimist","Dad","No","No","No","Yes","Check!","Yes","No","No","Yes","Yes","Yes","Yes","No","Yes","Yes",3574
"7051",1987,"Male","$50,000 - $74,999","Married (no kids)","Bachelor's Degree","Yes","No","No","Yes","Yes","No","Public","No","Yes","No","Yes","Yes","No","No","Science","Try first","Yes","Yes","Yes","No","Giving","No","No","Idealist","Yes","Yes","Cool headed","Odd hours","Yes","Happy","Yes","Yes","No","No","A.M.","Yes","Start","Yes","Yes","Me","Yes","No","No","Yes","Yes","TMI","Yes","Yes","Tunes","Technology","No","No","Yes","No","No","Supportive","Yes","PC","Yes","Cautious","No","Yes!","No","Socialize","Yes","Online","Yes","Yes","Yes","Yes","Yay people!","No","Yes","No","Yes","No","Yes","No","No","No","Yes","Yes","Yes","Rent","Optimist","Dad","No","Yes","Yes","Yes","Nope","Yes","No","No","Yes","Yes","Yes","Only-child","Yes","Yes","Yes",3580
"7061",1991,"Female","$25,001 - $50,000","Married (w/kids)","High School Diploma","No","No","No","No","No","Yes","Public","Yes","Yes","No","No","Yes","No","No","Art","Study first","No","No","Yes","No","Giving","No","Yes","Pragmatist","Yes","No","Hot headed","Odd hours","No","Happy","No","No","Yes","Yes","P.M.","No","End","No","Yes","Me","Yes","Yes","No","No","Yes","TMI","No","No","Tunes","Technology","No","Yes","Yes","No","Yes","Supportive","No","PC","Yes","Cautious","No","Yes!","No","Socialize","No","Online","No","No","Yes","Yes","Grrr people","No","Yes","Yes","Yes","No","No","No","No","Yes","No","Yes","No","Rent","Pessimist","Mom","No","Yes","Yes","Yes","Check!","Yes","No","No","No","Yes","No","Yes","No","No","No",3583
"7071",1949,"Male","$25,001 - $50,000","Single (no kids)","Associate's Degree","No","No","No","No","Yes","Yes","Public","Yes","Yes","No","No","No","No","Yes","Art","Try first","No","Yes","No","Yes","Giving","Yes","Yes","Pragmatist","Yes","No","Cool headed","Standard hours","No","Happy","Yes","Yes","Yes","No","P.M.","No","Start","No","No","Me","No","Yes","No","Yes","No","Mysterious","No","No","Tunes","Technology","No","No","Yes","No","Yes","Demanding","No","PC","Yes","Cautious","Yes","Yes!","No","Space","No","In-person","No","No","Yes","Yes","Grrr people","Yes","No","No","Yes","Yes","No","No","Yes","Yes","Yes","Yes","No","Own","Pessimist","Mom","Yes","Yes","No","Yes","Nope","Yes","Yes","No","No","Yes","No","Yes","No","No","No",3586
"7081",1993,"Female","under $25,000","Single (no kids)","Current Undergraduate","Yes","Yes","Yes","No","Yes","Yes","Public","No","Yes","No","Yes","Yes","Yes","No","Science","Study first","Yes","Yes","No","No","Giving","Yes","No","Idealist","Yes","Yes","Hot headed","Odd hours","No","Happy","Yes","Yes","Yes","Yes","P.M.","Yes","End","No","Yes","Me","No","Yes","No","No","Yes","TMI","Yes","No","Tunes","People","No","Yes","Yes","No","No","Demanding","No","PC","No","Cautious","No","Umm...","Yes","Space","No","In-person","No","No","Yes","No","Grrr people","Yes","No","Yes","Yes","Yes","Yes","No","Yes","Yes","No","No","No","Rent","Optimist","Mom","No","Yes","Yes","No","Nope","Yes","Yes","No","Yes","No","No","Only-child","No","No","Yes",3588
"7091",1942,"Male","under $25,000","Single (no kids)","Master's Degree","No","No","No","No","Yes","Yes","Public","Yes","No","No","No","Yes","Yes","Yes","Science","Study first","No","Yes","Yes","Yes","Giving","Yes","No","Pragmatist","Yes","No","Hot headed","Odd hours","Yes","Happy","Yes","Yes","No","No","P.M.","Yes","Start","Yes","Yes","Circumstances","Yes","No","No","Yes","Yes","Mysterious","No","Yes","Talk","People","Yes","Yes","Yes","Yes","Yes","Supportive","No","PC","Yes","Cautious","No","Yes!","No","Space","No","In-person","No","Yes","Yes","Yes","Yay people!","Yes","Yes","No","Yes","Yes","No","No","No","No","No","Yes","Yes","Rent","Optimist","Dad","Yes","Yes","Yes","No","Check!","Yes","Yes","Yes","Yes","Yes","No","Yes","No","Yes","Yes",3590
"7101",1987,"Female","$50,000 - $74,999","Single (no kids)","Bachelor's Degree","Yes","Yes","No","No","No","No","Private","Yes","Yes","No","Yes","Yes","No","Yes","Science","Study first","Yes","No","No","No","Giving","No","Yes","Pragmatist","No","No","Cool headed","Odd hours","Yes","Right","Yes","No","No","No","P.M.","Yes","Start","No","No","Circumstances","No","Yes","Yes","Yes","No","Mysterious","No","No","Tunes","Technology","Yes","Yes","Yes","Yes","Yes","Supportive","No","PC","No","Cautious","No","Yes!","No","Space","Yes","Online","Yes","No","Yes","Yes","Grrr people","No","No","No","No","No","Yes","No","No","Yes","Yes","Yes","No","Rent","Pessimist","Mom","No","Yes","Yes","Yes","Nope","Yes","No","No","No","Yes","No","Only-child","No","Yes","No",3598
"7111",1979,"Male","$75,000 - $100,000","Single (no kids)","Master's Degree","No","Yes","No","Yes","Yes","No","Public","No","Yes","No","No","No","Yes","Yes","Science","Study first","No","Yes","No","Yes","Giving","Yes","Yes","Pragmatist","No","No","Cool headed","Standard hours","No","Happy","Yes","Yes","Yes","No","A.M.","Yes","Start","No","No","Me","No","Yes","Yes","Yes","No","Mysterious","Yes","Yes","Talk","Technology","No","Yes","Yes","No","Yes","Supportive","No","PC","Yes","Cautious","No","Yes!","No","Space","No","In-person","No","Yes","Yes","Yes","Grrr people","Yes","No","No","Yes","No","Yes","Yes","No","No","No","Yes","No","Own","Optimist","Dad","No","Yes","No","Yes","Check!","Yes","Yes","No","Yes","Yes","No","Yes","No","No","Yes",3607
"7121",1986,"Female","$25,001 - $50,000","Married (w/kids)","Current Undergraduate","Yes","Yes","No","Yes","Yes","No","Public","Yes","Yes","No","No","Yes","No","Yes","Art","Study first","Yes","Yes","Yes","No","Giving","No","No","Idealist","No","Yes","Hot headed","Odd hours","No","Happy","No","Yes","No","Yes","P.M.","No","Start","Yes","Yes","Circumstances","Yes","No","No","No","No","TMI","No","No","Tunes","Technology","Yes","Yes","No","Yes","No","Demanding","Yes","Mac","Yes","Cautious","No","Umm...","No","Socialize","No","Online","No","No","Yes","No","Grrr people","Yes","Yes","No","No","Yes","No","No","Yes","No","No","No","No","Rent","Optimist","Dad","Yes","Yes","Yes","Yes","Check!","Yes","No","No","Yes","Yes","No","Yes","No","No","No",3613
"7131",1972,"Male","$75,000 - $100,000","Single (no kids)","Bachelor's Degree","No","Yes","No","Yes","No","Yes","Public","Yes","Yes","Yes","No","Yes","Yes","Yes","Science","Try first","No","No","Yes","Yes","Giving","No","No","Pragmatist","No","No","Cool headed","Standard hours","No","Happy","Yes","Yes","No","No","A.M.","Yes","Start","Yes","Yes","Me","Yes","Yes","Yes","Yes","Yes","TMI","Yes","No","Talk","Technology","No","No","No","No","Yes","Demanding","No","PC","Yes","Risk-friendly","No","Umm...","No","Space","No","In-person","No","Yes","Yes","Yes","Yay people!","Yes","Yes","No","No","Yes","No","No","No","No","No","Yes","No","Own","Optimist","Mom","Yes","Yes","No","Yes","Check!","Yes","Yes","Yes","Yes","No","No","Yes","No","No","Yes",3623
"7141",1994,"Male","$75,000 - $100,000","Single (no kids)","Current Undergraduate","No","No","No","No","Yes","Yes","Public","No","Yes","No","No","Yes","Yes","Yes","Science","Study first","Yes","No","No","No","Receiving","No","Yes","Pragmatist","No","Yes","Cool headed","Standard hours","No","Happy","Yes","Yes","No","Yes","P.M.","Yes","End","Yes","No","Me","Yes","Yes","Yes","Yes","No","Mysterious","Yes","No","Tunes","Technology","No","Yes","Yes","No","No","Supportive","Yes","PC","Yes","Cautious","No","Yes!","No","Space","No","In-person","No","Yes","Yes","Yes","Grrr people","No","No","Yes","No","No","Yes","No","Yes","Yes","No","No","No","Own","Optimist","Mom","No","Yes","No","Yes","Check!","Yes","No","No","Yes","Yes","No","Yes","Yes","No","No",3631
"7151",1976,"Female","over $150,000","Married (w/kids)","Associate's Degree","No","Yes","No","No","Yes","No","Public","No","Yes","No","No","Yes","No","Yes","Science","Try first","Yes","No","No","No","Receiving","No","No","Pragmatist","No","No","Hot headed","Standard hours","Yes","Happy","Yes","Yes","No","Yes","P.M.","Yes","Start","Yes","No","Me","Yes","No","Yes","Yes","No","TMI","No","Yes","Talk","People","No","No","No","No","Yes","Supportive","No","PC","Yes","Risk-friendly","Yes","Yes!","No","Socialize","No","Online","No","Yes","Yes","Yes","Yay people!","Yes","No","Yes","Yes","Yes","Yes","No","No","Yes","No","Yes","No","Own","Optimist","Dad","No","No","Yes","Yes","Nope","No","No","No","Yes","Yes","No","Yes","Yes","No","Yes",3639
"7161",2000,"Female","$100,001 - $150,000","Single (no kids)","Current K-12","Yes","Yes","No","No","No","Yes","Private","No","No","No","No","No","Yes","Yes","Science","Study first","No","No","Yes","No","Receiving","Yes","Yes","Idealist","No","No","Cool headed","Standard hours","No","Happy","Yes","Yes","No","No","P.M.","Yes","Start","Yes","Yes","Me","No","Yes","Yes","Yes","No","TMI","No","No","Tunes","People","No","No","Yes","Yes","Yes","Supportive","No","Mac","No","Cautious","No","Umm...","No","Space","No","In-person","No","Yes","Yes","Yes","Grrr people","Yes","No","No","No","No","Yes","Yes","No","No","No","Yes","No","Own","Optimist","Dad","No","No","Yes","Yes","Check!","No","No","No","Yes","Yes","Yes","Yes","No","Yes","Yes",3654
"7171",1972,"Female","$100,001 - $150,000","Single (w/kids)","Bachelor's Degree","No","Yes","No","Yes","Yes","No","Public","No","Yes","No","Yes","No","Yes","No","Science","Study first","Yes","No","Yes","No","Giving","No","No","Pragmatist","Yes","Yes","Hot headed","Standard hours","No","Happy","Yes","Yes","Yes","No","P.M.","Yes","End","Yes","No","Circumstances","No","No","Yes","Yes","Yes","TMI","No","Yes","Tunes","People","Yes","No","Yes","No","Yes","Demanding","Yes","Mac","Yes","Risk-friendly","Yes","Yes!","Yes","Space","No","Online","Yes","Yes","Yes","Yes","Yay people!","Yes","Yes","No","No","Yes","Yes","Yes","Yes","No","Yes","No","No","Own","Optimist","Dad","No","Yes","Yes","Yes","Check!","Yes","No","No","Yes","Yes","No","Yes","No","Yes","No",3656
"7181",1984,"Male","under $25,000","Married (w/kids)","High School Diploma","No","Yes","No","No","Yes","Yes","Public","No","No","No","Yes","Yes","No","Yes","Science","Study first","Yes","No","No","No","Giving","Yes","No","Idealist","Yes","No","Hot headed","Standard hours","No","Right","Yes","Yes","Yes","No","P.M.","Yes","End","No","Yes","Circumstances","Yes","Yes","No","No","No","Mysterious","Yes","No","Tunes","Technology","No","Yes","Yes","Yes","No","Supportive","No","PC","Yes","Risk-friendly","No","Umm...","No","Space","No","Online","Yes","Yes","Yes","Yes","Grrr people","Yes","No","Yes","Yes","No","No","No","Yes","Yes","Yes","No","No","Own","Pessimist","Dad","Yes","Yes","No","Yes","Check!","Yes","No","No","Yes","Yes","No","Yes","Yes","Yes","Yes",3663
"7191",1974,"Male","$100,001 - $150,000","Single (no kids)","High School Diploma","Yes","No","No","Yes","No","Yes","Public","No","Yes","No","Yes","Yes","No","Yes","Science","Try first","Yes","No","Yes","No","Giving","Yes","No","Pragmatist","No","No","Cool headed","Standard hours","No","Right","Yes","Yes","No","No","P.M.","Yes","End","Yes","No","Me","Yes","No","No","No","Yes","TMI","Yes","Yes","Talk","Technology","Yes","Yes","Yes","No","No","Demanding","No","Mac","Yes","Cautious","No","Yes!","No","Space","No","In-person","Yes","Yes","Yes","Yes","Grrr people","Yes","Yes","No","Yes","Yes","Yes","Yes","No","Yes","Yes","No","No","Own","Pessimist","Mom","Yes","Yes","No","Yes","Nope","Yes","Yes","No","Yes","Yes","No","Yes","No","Yes","Yes",3673
"7201",1981,"Female","$75,000 - $100,000","Married (w/kids)","Doctoral Degree","Yes","Yes","No","Yes","No","No","Public","Yes","Yes","No","Yes","No","No","Yes","Art","Study first","Yes","Yes","No","No","Giving","Yes","No","Idealist","Yes","Yes","Hot headed","Odd hours","No","Right","No","Yes","Yes","Yes","P.M.","Yes","Start","No","No","Me","Yes","Yes","Yes","No","Yes","TMI","No","No","Tunes","People","Yes","Yes","Yes","No","No","Demanding","No","PC","Yes","Cautious","No","Yes!","No","Space","No","In-person","Yes","No","Yes","Yes","Grrr people","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Yes","Yes","No","No","Own","Pessimist","Mom","No","Yes","Yes","No","Nope","Yes","No","No","Yes","Yes","Yes","Yes","Yes","No","No",3681
"7211",1995,"Female","under $25,000","Single (no kids)","Current Undergraduate","Yes","Yes","No","No","No","Yes","Public","No","No","No","No","No","No","Yes","Science","Study first","Yes","Yes","Yes","Yes","Receiving","Yes","No","Idealist","No","No","Hot headed","Odd hours","No","Happy","Yes","No","No","No","P.M.","Yes","End","Yes","No","Circumstances","Yes","No","No","Yes","No","Mysterious","No","No","Tunes","Technology","No","No","Yes","Yes","Yes","Supportive","Yes","PC","No","Cautious","Yes","Yes!","No","Space","No","Online","No","No","Yes","Yes","Grrr people","No","No","Yes","No","No","Yes","Yes","No","Yes","No","No","No","Own","Optimist","Mom","No","No","No","Yes","Nope","No","No","No","No","Yes","Yes","Yes","Yes","No","Yes",3683
"7221",1975,"Female","$100,001 - $150,000","Single (no kids)","High School Diploma","Yes","Yes","No","Yes","No","Yes","Public","No","Yes","No","No","Yes","No","Yes","Science","Study first","No","Yes","No","Yes","Giving","Yes","No","Pragmatist","No","Yes","Hot headed","Standard hours","No","Right","Yes","Yes","No","No","P.M.","Yes","End","No","No","Me","Yes","No","No","Yes","Yes","Mysterious","No","No","Tunes","Technology","No","Yes","Yes","No","No","Supportive","Yes","PC","Yes","Cautious","No","Yes!","No","Space","No","In-person","No","Yes","Yes","Yes","Grrr people","Yes","No","Yes","Yes","Yes","No","Yes","No","Yes","No","No","No","Own","Pessimist","Dad","No","Yes","No","Yes","Check!","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","No","Yes",3687
"7231",1994,"Male","under $25,000","Single (no kids)","High School Diploma","No","No","Yes","No","No","Yes","Public","Yes","Yes","No","Yes","No","Yes","Yes","Science","Try first","No","Yes","No","No","Giving","Yes","Yes","Idealist","Yes","Yes","Cool headed","Standard hours","No","Happy","Yes","Yes","No","No","P.M.","Yes","Start","Yes","No","Circumstances","Yes","No","No","Yes","No","Mysterious","No","Yes","Tunes","People","Yes","No","Yes","No","No","Demanding","Yes","Mac","No","Cautious","No","Umm...","No","Space","No","In-person","Yes","Yes","Yes","Yes","Yay people!","Yes","No","No","Yes","No","No","Yes","No","No","No","No","Yes","Own","Optimist","Dad","No","No","Yes","Yes","Nope","Yes","No","No","Yes","Yes","No","Yes","No","Yes","No",3688
"7241",1994,"Female","$25,001 - $50,000","Single (no kids)","Current Undergraduate","No","Yes","No","No","No","No","Public","No","Yes","Yes","Yes","No","No","Yes","Science","Study first","Yes","Yes","No","No","Giving","Yes","No","Idealist","No","No","Hot headed","Standard hours","No","Happy","Yes","No","Yes","Yes","P.M.","Yes","End","Yes","No","Me","No","Yes","Yes","No","No","TMI","No","No","Talk","Technology","No","Yes","Yes","Yes","Yes","Supportive","Yes","Mac","Yes","Cautious","No","Umm...","No","Space","Yes","In-person","No","Yes","Yes","Yes","Grrr people","No","No","Yes","No","Yes","No","No","No","No","No","No","Yes","Rent","Optimist","Dad","No","No","Yes","Yes","Nope","No","No","No","Yes","No","No","Yes","Yes","No","Yes",3690
"7251",2000,"Female","under $25,000","Single (no kids)","Current K-12","Yes","Yes","No","No","Yes","No","Public","No","No","No","Yes","No","Yes","Yes","Science","Try first","Yes","Yes","Yes","Yes","Giving","Yes","No","Pragmatist","Yes","No","Cool headed","Standard hours","Yes","Happy","Yes","No","No","Yes","P.M.","Yes","End","Yes","No","Circumstances","Yes","Yes","Yes","Yes","No","Mysterious","No","No","Tunes","People","No","Yes","Yes","No","Yes","Supportive","Yes","PC","Yes","Cautious","Yes","Umm...","No","Space","No","In-person","No","No","Yes","Yes","Grrr people","Yes","No","Yes","No","No","No","No","No","Yes","No","Yes","Yes","Own","Optimist","Mom","No","Yes","Yes","Yes","Check!","No","No","No","Yes","No","Yes","Yes","Yes","No","Yes",3691
"7261",1989,"Male","under $25,000","Single (no kids)","Bachelor's Degree","No","No","No","Yes","No","No","Public","Yes","Yes","Yes","No","Yes","Yes","Yes","Art","Study first","Yes","Yes","Yes","Yes","Giving","Yes","No","Idealist","No","Yes","Cool headed","Standard hours","No","Happy","Yes","Yes","No","Yes","P.M.","Yes","Start","Yes","No","Me","No","No","No","Yes","No","Mysterious","No","No","Tunes","People","No","No","Yes","No","Yes","Supportive","No","Mac","Yes","Risk-friendly","No","Yes!","No","Space","Yes","In-person","Yes","No","Yes","Yes","Yay people!","No","No","Yes","No","No","Yes","No","No","No","Yes","No","Yes","Rent","Optimist","Dad","No","Yes","Yes","Yes","Check!","Yes","No","No","Yes","Yes","No","Yes","Yes","No","Yes",3693
"7271",1988,"Female","under $25,000","Single (no kids)","High School Diploma","Yes","Yes","Yes","No","No","No","Public","No","No","No","Yes","Yes","No","Yes","Science","Try first","No","No","No","No","Giving","Yes","Yes","Idealist","Yes","No","Cool headed","Odd hours","Yes","Happy","Yes","No","Yes","Yes","P.M.","Yes","Start","Yes","No","Me","Yes","Yes","Yes","Yes","No","Mysterious","No","Yes","Tunes","People","Yes","Yes","No","No","No","Demanding","No","PC","Yes","Cautious","No","Yes!","No","Space","No","In-person","Yes","No","Yes","Yes","Grrr people","No","No","No","Yes","Yes","Yes","Yes","Yes","No","No","Yes","No","Own","Optimist","Mom","No","Yes","Yes","Yes","Nope","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes",3703
"7281",1989,"Female","under $25,000","Single (no kids)","Bachelor's Degree","No","Yes","No","No","No","No","Public","Yes","Yes","No","Yes","Yes","No","No","Art","Study first","Yes","No","No","Yes","Receiving","No","Yes","Idealist","No","Yes","Hot headed","Odd hours","No","Happy","Yes","Yes","No","Yes","P.M.","Yes","End","Yes","No","Circumstances","Yes","No","No","Yes","No","TMI","Yes","No","Tunes","People","No","Yes","No","No","No","Supportive","No","Mac","Yes","Cautious","Yes","Yes!","No","Space","No","Online","Yes","Yes","Yes","Yes","Grrr people","No","No","Yes","Yes","Yes","No","No","Yes","No","Yes","No","No","Rent","Optimist","Dad","No","Yes","Yes","Yes","Check!","Yes","No","No","No","Yes","No","Yes","No","No","No",3710
